"profile_label","time_set","grupos_etarios","indicator","mean_times","se_times"
"Profile_6","musica",3,"Cantidad anual",0,0
"Profile_6","ppoo",1,"Cantidad anual",1.53620416175034,0.27623519479394
"Profile_6","ppoo",2,"Cantidad anual",1.31081082211066,0.101459048061811
"Profile_6","ppoo",3,"Cantidad anual",0,0
"Profile_6","religion",1,"Cantidad anual",3.80304501895223,1.28455728777349
"Profile_6","religion",2,"Cantidad anual",10.0023215284303,3.83811687954383
"Profile_6","religion",3,"Cantidad anual",1,0
"Profile_6","teatro",1,"Cantidad anual",2.85445522978485,0.476404326761033
"Profile_6","teatro",2,"Cantidad anual",2.2296791603914,0.238503687114202
"Profile_6","teatro",3,"Cantidad anual",0,0
