"profile_label","time_set","NSE","indicator","mean_times","se_times"
"Profile_5","musica",1,"Cantidad anual",2.79825381015185,0.47138808961447
"Profile_5","musica",2,"Cantidad anual",3.48552307657011,0.470890382045575
"Profile_5","musica",3,"Cantidad anual",3.96188740316876,0.388219887749891
"Profile_5","ppoo",1,"Cantidad anual",1.47384342143074,0.180226697389664
"Profile_5","ppoo",2,"Cantidad anual",1.45870025443832,0.133523906467308
"Profile_5","ppoo",3,"Cantidad anual",1.63815451990706,0.258415997406374
"Profile_5","religion",1,"Cantidad anual",8.94372265062346,4.700344565305
"Profile_5","religion",2,"Cantidad anual",3.1324542395421,0.519599113613592
"Profile_5","religion",3,"Cantidad anual",3.37991502221373,0.618137392539063
"Profile_5","teatro",1,"Cantidad anual",4.02621243372247,2.40786684090783
"Profile_5","teatro",2,"Cantidad anual",2.41015258323987,0.339297230055727
"Profile_5","teatro",3,"Cantidad anual",3.04406004226451,0.185687099284722
"Profile_6","artesania",1,"Cantidad anual",5.16472916442028,1.2100407466396
"Profile_6","artesania",2,"Cantidad anual",3.88510741850342,0.39778865540923
"Profile_6","artesania",3,"Cantidad anual",3.76364162408481,0.279428691992083
"Profile_6","arte",1,"Cantidad anual",1.47031283897099,0.329967956285177
"Profile_6","arte",2,"Cantidad anual",-2.53043008569457,3.42202328444934
"Profile_6","arte",3,"Cantidad anual",1.91411121371588,0.174886437503417
"Profile_6","cine",1,"Cantidad anual",2.46269724237219,0.33519257699233
"Profile_6","cine",2,"Cantidad anual",3.78104780885982,0.347112235691606
"Profile_6","cine",3,"Cantidad anual",4.33305837051269,0.331281537366026
"Profile_6","danza",1,"Cantidad anual",1.89346038459901,0.317713742352493
"Profile_6","danza",2,"Cantidad anual",2.21565506721259,0.280210256569487
"Profile_6","danza",3,"Cantidad anual",2.72686136901487,0.557121564589787
"Profile_6","musica",1,"Cantidad anual",2.91978851673267,0.623552825266664
"Profile_6","musica",2,"Cantidad anual",2.96704683152325,0.375623972392901
"Profile_6","musica",3,"Cantidad anual",3.16187980801253,0.325179497494666
"Profile_6","ppoo",1,"Cantidad anual",1.14084387740476,0.154676153943726
"Profile_6","ppoo",2,"Cantidad anual",1.47976387642568,0.164454213803195
"Profile_6","ppoo",3,"Cantidad anual",1.26645859353703,0.139540027890658
"Profile_6","religion",1,"Cantidad anual",2.9575562185299,1.10204329074657
"Profile_6","religion",2,"Cantidad anual",9.80293635092027,4.01019694172861
"Profile_6","religion",3,"Cantidad anual",9.16378752509912,4.86369226909424
"Profile_6","teatro",1,"Cantidad anual",1.96903339280519,0.319226461474813
"Profile_6","teatro",2,"Cantidad anual",2.6156119176995,0.514294006436923
"Profile_6","teatro",3,"Cantidad anual",2.32807516850285,0.241423292253556
